"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F3CC U+1F3FC U+200D U+2640 U+FE0F","🏌🏼‍♀️","Woman Golfing: Medium-Light Skin Tone","Golf Oynayan Kadın: Orta Açık Cilt Tonu"
"U+1F3CC U+1F3FD U+200D U+2640 U+FE0F","🏌🏽‍♀️","Woman Golfing: Medium Skin Tone","Golf Oynayan Kadın: Orta Cilt Tonu"
"U+1F3CC U+1F3FE U+200D U+2640 U+FE0F","🏌🏾‍♀️","Woman Golfing: Medium-Dark Skin Tone","Golf Oynayan Kadın: Orta Koyu Cilt Tonu"
"U+1F3CC U+1F3FF U+200D U+2640 U+FE0F","🏌🏿‍♀️","Woman Golfing: Dark Skin Tone","Golf Oynayan Kadın: Koyu Cilt Tonu"
"U+1F3C4 U+1F3FB","🏄🏻","Person Surfing: Light Skin Tone","Sörf Yapan Kişi: Açık Cilt Tonu"
"U+1F3C4 U+1F3FC","🏄🏼","Person Surfing: Medium-Light Skin Tone","Sörf Yapan Kişi: Orta Açık Cilt Tonu"
"U+1F3C4 U+1F3FD","🏄🏽","Person Surfing: Medium Skin Tone","Sörf Yapan Kişi: Orta Cilt Tonu"
"U+1F3C4 U+1F3FE","🏄🏾","Person Surfing: Medium-Dark Skin Tone","Sörf Yapan Kişi: Orta-Koyu Cilt Tonu"
"U+1F3C4 U+1F3FF","🏄🏿","Person Surfing: Dark Skin Tone","Sörf Yapan Kişi: Koyu Cilt Tonu"
"U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F","🏄🏻‍♂️","Man Surfing: Light Skin Tone","Sörf Yapan Adam: Açık Cilt Tonu"
"U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F","🏄🏼‍♂️","Man Surfing: Medium-Light Skin Tone","Sörf Yapan Adam: Orta Açık Cilt Tonu"
"U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F","🏄🏽‍♂️","Man Surfing: Medium Skin Tone","Sörf Yapan Adam: Orta Cilt Tonu"
"U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F","🏄🏾‍♂️","Man Surfing: Medium-Dark Skin Tone","Sörf Yapan Adam: Orta Koyu Cilt Tonu"
"U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F","🏄🏿‍♂️","Man Surfing: Dark Skin Tone","Sörf Yapan Adam: Koyu Cilt Tonu"
"U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F","🏄🏻‍♀️","Woman Surfing: Light Skin Tone","Sörf Yapan Kadın: Açık Cilt Tonu"
"U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F","🏄🏼‍♀️","Woman Surfing: Medium-Light Skin Tone","Sörf Yapan Kadın: Orta Açık Cilt Tonu"
"U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F","🏄🏽‍♀️","Woman Surfing: Medium Skin Tone","Sörf Yapan Kadın: Orta Cilt Tonu"
"U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F","🏄🏾‍♀️","Woman Surfing: Medium-Dark Skin Tone","Sörf Yapan Kadın: Orta Koyu Cilt Tonu"
"U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F","🏄🏿‍♀️","Woman Surfing: Dark Skin Tone","Sörf Yapan Kadın: Koyu Cilt Tonu"
"U+1F6A3 U+1F3FB","🚣🏻","Person Rowing Boat: Light Skin Tone","Kürek Çeken Kişi: Açık Cilt Tonu"
"U+1F6A3 U+1F3FC","🚣🏼","Person Rowing Boat: Medium-Light Skin Tone","Kürek Çeken Kişi: Orta Açık Cilt Tonu"
"U+1F6A3 U+1F3FD","🚣🏽","Person Rowing Boat: Medium Skin Tone","Kürek Çeken Kişi: Orta Cilt Tonu"
"U+1F6A3 U+1F3FE","🚣🏾","Person Rowing Boat: Medium-Dark Skin Tone","Kürek Çeken Kişi: Orta Koyu Cilt Tonu"
"U+1F6A3 U+1F3FF","🚣🏿","Person Rowing Boat: Dark Skin Tone","Kürek Çeken Kişi: Koyu Cilt Tonu"
"U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F","🚣🏻‍♂️","Man Rowing Boat: Light Skin Tone","Teknede Kürek Çeken Adam: Açık Cilt Tonu"
"U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F","🚣🏼‍♂️","Man Rowing Boat: Medium-Light Skin Tone","Teknede Kürek Çeken Adam: Orta Açık Cilt Tonu"
"U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F","🚣🏽‍♂️","Man Rowing Boat: Medium Skin Tone","Teknede Kürek Çeken Adam: Orta Cilt Tonu"
"U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F","🚣🏾‍♂️","Man Rowing Boat: Medium-Dark Skin Tone","Teknede Kürek Çeken Adam: Orta Koyu Cilt Tonu"
"U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F","🚣🏿‍♂️","Man Rowing Boat: Dark Skin Tone","Teknede Kürek Çeken Adam: Koyu Cilt Tonu"
"U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F","🚣🏻‍♀️","Woman Rowing Boat: Light Skin Tone","Teknede Kürek Çeken Kadın: Açık Cilt Tonu"
"U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F","🚣🏼‍♀️","Woman Rowing Boat: Medium-Light Skin Tone","Teknede Kürek Çeken Kadın: Orta Açık Cilt Tonu"
"U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F","🚣🏽‍♀️","Woman Rowing Boat: Medium Skin Tone","Kayıkta Kürek Çeken Kadın: Orta Cilt Tonu"
"U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F","🚣🏾‍♀️","Woman Rowing Boat: Medium-Dark Skin Tone","Teknede Kürek Çeken Kadın: Orta Koyu Cilt Tonu"
"U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F","🚣🏿‍♀️","Woman Rowing Boat: Dark Skin Tone","Teknede Kürek Çeken Kadın: Koyu Cilt Tonu"
"U+1F3CA U+1F3FB","🏊🏻","Person Swimming: Light Skin Tone","Yüzen Kişi: Açık Cilt Tonu"
"U+1F3CA U+1F3FC","🏊🏼","Person Swimming: Medium-Light Skin Tone","Yüzen Kişi: Orta Açık Cilt Tonu"
"U+1F3CA U+1F3FD","🏊🏽","Person Swimming: Medium Skin Tone","Yüzen Kişi: Orta Cilt Tonu"
"U+1F3CA U+1F3FE","🏊🏾","Person Swimming: Medium-Dark Skin Tone","Yüzen Kişi: Orta-Koyu Cilt Tonu"
"U+1F3CA U+1F3FF","🏊🏿","Person Swimming: Dark Skin Tone","Yüzen Kişi: Koyu Cilt Tonu"
"U+1F3CA U+1F3FB U+200D U+2642 U+FE0F","🏊🏻‍♂️","Man Swimming: Light Skin Tone","Yüzen Adam: Açık Cilt Tonu"
"U+1F3CA U+1F3FC U+200D U+2642 U+FE0F","🏊🏼‍♂️","Man Swimming: Medium-Light Skin Tone","Yüzen Adam: Orta Açık Cilt Tonu"
"U+1F3CA U+1F3FD U+200D U+2642 U+FE0F","🏊🏽‍♂️","Man Swimming: Medium Skin Tone","Yüzen Adam: Orta Cilt Tonu"
"U+1F3CA U+1F3FE U+200D U+2642 U+FE0F","🏊🏾‍♂️","Man Swimming: Medium-Dark Skin Tone","Yüzen Adam: Orta Koyu Cilt Tonu"
"U+1F3CA U+1F3FF U+200D U+2642 U+FE0F","🏊🏿‍♂️","Man Swimming: Dark Skin Tone","Yüzen Adam: Koyu Cilt Tonu"
"U+1F3CA U+1F3FB U+200D U+2640 U+FE0F","🏊🏻‍♀️","Woman Swimming: Light Skin Tone","Yüzen Kadın: Açık Cilt Tonu"
"U+1F3CA U+1F3FC U+200D U+2640 U+FE0F","🏊🏼‍♀️","Woman Swimming: Medium-Light Skin Tone","Yüzen Kadın: Orta Açık Cilt Tonu"
"U+1F3CA U+1F3FD U+200D U+2640 U+FE0F","🏊🏽‍♀️","Woman Swimming: Medium Skin Tone","Yüzen Kadın: Orta Cilt Tonu"
"U+1F3CA U+1F3FE U+200D U+2640 U+FE0F","🏊🏾‍♀️","Woman Swimming: Medium-Dark Skin Tone","Yüzen Kadın: Orta Koyu Cilt Tonu"
"U+1F3CA U+1F3FF U+200D U+2640 U+FE0F","🏊🏿‍♀️","Woman Swimming: Dark Skin Tone","Yüzen Kadın: Koyu Cilt Tonu"
"U+26F9 U+1F3FB","⛹🏻","Person Bouncing Ball: Light Skin Tone","Top Zıplayan Kişi: Açık Cilt Tonu"
"U+26F9 U+1F3FC","⛹🏼","Person Bouncing Ball: Medium-Light Skin Tone","Top Zıplayan Kişi: Orta Açık Cilt Tonu"
"U+26F9 U+1F3FD","⛹🏽","Person Bouncing Ball: Medium Skin Tone","Top Zıplayan Kişi: Orta Cilt Tonu"
"U+26F9 U+1F3FE","⛹🏾","Person Bouncing Ball: Medium-Dark Skin Tone","Top Zıplayan Kişi: Orta Koyu Cilt Tonu"
"U+26F9 U+1F3FF","⛹🏿","Person Bouncing Ball: Dark Skin Tone","Topu Zıplayan Kişi: Koyu Cilt Tonu"
"U+26F9 U+1F3FB U+200D U+2642 U+FE0F","⛹🏻‍♂️","Man Bouncing Ball: Light Skin Tone","Top Zıplayan Adam: Açık Cilt Tonu"
"U+26F9 U+1F3FC U+200D U+2642 U+FE0F","⛹🏼‍♂️","Man Bouncing Ball: Medium-Light Skin Tone","Top Zıplayan Adam: Orta Açık Cilt Tonu"
"U+26F9 U+1F3FD U+200D U+2642 U+FE0F","⛹🏽‍♂️","Man Bouncing Ball: Medium Skin Tone","Top Zıplayan Adam: Orta Cilt Tonu"
"U+26F9 U+1F3FE U+200D U+2642 U+FE0F","⛹🏾‍♂️","Man Bouncing Ball: Medium-Dark Skin Tone","Top Zıplayan Adam: Orta Koyu Cilt Tonu"
"U+26F9 U+1F3FF U+200D U+2642 U+FE0F","⛹🏿‍♂️","Man Bouncing Ball: Dark Skin Tone","Top Zıplayan Adam: Koyu Cilt Tonu"
"U+26F9 U+1F3FB U+200D U+2640 U+FE0F","⛹🏻‍♀️","Woman Bouncing Ball: Light Skin Tone","Top Zıplayan Kadın: Açık Cilt Tonu"
"U+26F9 U+1F3FC U+200D U+2640 U+FE0F","⛹🏼‍♀️","Woman Bouncing Ball: Medium-Light Skin Tone","Top Zıplayan Kadın: Orta Açık Cilt Tonu"
"U+26F9 U+1F3FD U+200D U+2640 U+FE0F","⛹🏽‍♀️","Woman Bouncing Ball: Medium Skin Tone","Top Zıplayan Kadın: Orta Cilt Tonu"
"U+26F9 U+1F3FE U+200D U+2640 U+FE0F","⛹🏾‍♀️","Woman Bouncing Ball: Medium-Dark Skin Tone","Top Zıplayan Kadın: Orta Koyu Cilt Tonu"
"U+26F9 U+1F3FF U+200D U+2640 U+FE0F","⛹🏿‍♀️","Woman Bouncing Ball: Dark Skin Tone","Top Zıplayan Kadın: Koyu Cilt Tonu"
"U+1F3CB U+1F3FB","🏋🏻","Person Lifting Weights: Light Skin Tone","Ağırlık Kaldıran Kişi: Açık Cilt Tonu"
"U+1F3CB U+1F3FC","🏋🏼","Person Lifting Weights: Medium-Light Skin Tone","Ağırlık Kaldıran Kişi: Orta Açık Cilt Tonu"
"U+1F3CB U+1F3FD","🏋🏽","Person Lifting Weights: Medium Skin Tone","Ağırlık Kaldıran Kişi: Orta Cilt Tonu"
"U+1F3CB U+1F3FE","🏋🏾","Person Lifting Weights: Medium-Dark Skin Tone","Ağırlık Kaldıran Kişi: Orta Koyu Cilt Tonu"
"U+1F3CB U+1F3FF","🏋🏿","Person Lifting Weights: Dark Skin Tone","Ağırlık Kaldıran Kişi: Koyu Cilt Tonu"
"U+1F3CB U+1F3FB U+200D U+2642 U+FE0F","🏋🏻‍♂️","Man Lifting Weights: Light Skin Tone","Ağırlık Kaldıran Adam: Açık Cilt Tonu"
"U+1F3CB U+1F3FC U+200D U+2642 U+FE0F","🏋🏼‍♂️","Man Lifting Weights: Medium-Light Skin Tone","Ağırlık Kaldıran Adam: Orta Açık Cilt Tonu"
"U+1F3CB U+1F3FD U+200D U+2642 U+FE0F","🏋🏽‍♂️","Man Lifting Weights: Medium Skin Tone","Ağırlık Kaldıran Adam: Orta Cilt Tonu"
"U+1F3CB U+1F3FE U+200D U+2642 U+FE0F","🏋🏾‍♂️","Man Lifting Weights: Medium-Dark Skin Tone","Ağırlık Kaldıran Adam: Orta Koyu Cilt Tonu"
"U+1F3CB U+1F3FF U+200D U+2642 U+FE0F","🏋🏿‍♂️","Man Lifting Weights: Dark Skin Tone","Ağırlık Kaldıran Adam: Koyu Cilt Tonu"
"U+1F3CB U+1F3FB U+200D U+2640 U+FE0F","🏋🏻‍♀️","Woman Lifting Weights: Light Skin Tone","Ağırlık Kaldıran Kadın: Açık Cilt Tonu"
"U+1F3CB U+1F3FC U+200D U+2640 U+FE0F","🏋🏼‍♀️","Woman Lifting Weights: Medium-Light Skin Tone","Ağırlık Kaldıran Kadın: Orta Açık Cilt Tonu"
"U+1F3CB U+1F3FD U+200D U+2640 U+FE0F","🏋🏽‍♀️","Woman Lifting Weights: Medium Skin Tone","Ağırlık Kaldıran Kadın: Orta Cilt Tonu"
"U+1F3CB U+1F3FE U+200D U+2640 U+FE0F","🏋🏾‍♀️","Woman Lifting Weights: Medium-Dark Skin Tone","Ağırlık Kaldıran Kadın: Orta Koyu Cilt Tonu"
"U+1F3CB U+1F3FF U+200D U+2640 U+FE0F","🏋🏿‍♀️","Woman Lifting Weights: Dark Skin Tone","Ağırlık Kaldıran Kadın: Koyu Cilt Tonu"
"U+1F6B4 U+1F3FB","🚴🏻","Person Biking: Light Skin Tone","Bisiklete Binen Kişi: Açık Cilt Tonu"
"U+1F6B4 U+1F3FC","🚴🏼","Person Biking: Medium-Light Skin Tone","Bisiklete Binen Kişi: Orta Açık Cilt Tonu"
"U+1F6B4 U+1F3FD","🚴🏽","Person Biking: Medium Skin Tone","Bisiklete Binen Kişi: Orta Cilt Tonu"
"U+1F6B4 U+1F3FE","🚴🏾","Person Biking: Medium-Dark Skin Tone","Bisiklete Binen Kişi: Orta-Koyu Cilt Tonu"
"U+1F6B4 U+1F3FF","🚴🏿","Person Biking: Dark Skin Tone","Bisiklete binen kişi: Koyu Cilt Tonu"
"U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F","🚴🏻‍♂️","Man Biking: Light Skin Tone","Bisiklete binen erkek: Açık cilt tonu"
"U+1F6B4 U+1F3FC U+200D U+2642 U+FE0F","🚴🏼‍♂️","Man Biking: Medium-Light Skin Tone","Bisiklete Binen Adam: Orta Açık Cilt Tonu"
"U+1F6B4 U+1F3FD U+200D U+2642 U+FE0F","🚴🏽‍♂️","Man Biking: Medium Skin Tone","Bisiklete Binen Adam: Orta Cilt Tonu"
"U+1F6B4 U+1F3FE U+200D U+2642 U+FE0F","🚴🏾‍♂️","Man Biking: Medium-Dark Skin Tone","Bisiklete Binen Erkek: Orta Koyu Cilt Tonu"
"U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F","🚴🏿‍♂️","Man Biking: Dark Skin Tone","Bisiklete binen erkek: Koyu Cilt Tonu"
"U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F","🚴🏻‍♀️","Woman Biking: Light Skin Tone","Bisiklete Binen Kadın: Açık Cilt Tonu"
"U+1F6B4 U+1F3FC U+200D U+2640 U+FE0F","🚴🏼‍♀️","Woman Biking: Medium-Light Skin Tone","Bisiklete Binen Kadın: Orta Açık Cilt Tonu"
"U+1F6B4 U+1F3FD U+200D U+2640 U+FE0F","🚴🏽‍♀️","Woman Biking: Medium Skin Tone","Bisiklete Binen Kadın: Orta Cilt Tonu"
"U+1F6B4 U+1F3FE U+200D U+2640 U+FE0F","🚴🏾‍♀️","Woman Biking: Medium-Dark Skin Tone","Bisiklete Binen Kadın: Orta Koyu Cilt Tonu"
"U+1F6B4 U+1F3FF U+200D U+2640 U+FE0F","🚴🏿‍♀️","Woman Biking: Dark Skin Tone","Bisiklete binen kadın: Koyu Cilt Tonu"
"U+1F6B5 U+1F3FB","🚵🏻","Person Mountain Biking: Light Skin Tone","Dağ Bisikletine Giden Kişi: Açık Cilt Tonu"
"U+1F6B5 U+1F3FC","🚵🏼","Person Mountain Biking: Medium-Light Skin Tone","Dağ Bisikletine Binen Kişi: Orta Açık Cilt Tonu"
"U+1F6B5 U+1F3FD","🚵🏽","Person Mountain Biking: Medium Skin Tone","Dağ Bisikletine Binen Kişi: Orta Cilt Tonu"
"U+1F6B5 U+1F3FE","🚵🏾","Person Mountain Biking: Medium-Dark Skin Tone","Dağ Bisikletine Binen Kişi: Orta-Koyu Cilt Tonu"
"U+1F6B5 U+1F3FF","🚵🏿","Person Mountain Biking: Dark Skin Tone","Dağ Bisikletine Binen Kişi: Koyu Cilt Tonu"
"U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F","🚵🏻‍♂️","Man Mountain Biking: Light Skin Tone","Dağ Bisikletine Binen Adam: Açık Cilt Tonu"
"U+1F6B5 U+1F3FC U+200D U+2642 U+FE0F","🚵🏼‍♂️","Man Mountain Biking: Medium-Light Skin Tone","Dağ Bisikletine Binen Adam: Orta Açık Cilt Tonu"
"U+1F6B5 U+1F3FD U+200D U+2642 U+FE0F","🚵🏽‍♂️","Man Mountain Biking: Medium Skin Tone","Dağ Bisikletine Binen Adam: Orta Cilt Tonu"
"U+1F6B5 U+1F3FE U+200D U+2642 U+FE0F","🚵🏾‍♂️","Man Mountain Biking: Medium-Dark Skin Tone","Dağ Bisikletine Binen Adam: Orta Koyu Cilt Tonu"
"U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F","🚵🏿‍♂️","Man Mountain Biking: Dark Skin Tone","Dağ Bisikletine Binen Adam: Koyu Cilt Tonu"
"U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F","🚵🏻‍♀️","Woman Mountain Biking: Light Skin Tone","Dağ Bisikletine Binen Kadın: Açık Cilt Tonu"
"U+1F6B5 U+1F3FC U+200D U+2640 U+FE0F","🚵🏼‍♀️","Woman Mountain Biking: Medium-Light Skin Tone","Dağ Bisikletine Binen Kadın: Orta Açık Cilt Tonu"
"U+1F6B5 U+1F3FD U+200D U+2640 U+FE0F","🚵🏽‍♀️","Woman Mountain Biking: Medium Skin Tone","Dağ Bisikletine Binen Kadın: Orta Cilt Tonu"
"U+1F6B5 U+1F3FE U+200D U+2640 U+FE0F","🚵🏾‍♀️","Woman Mountain Biking: Medium-Dark Skin Tone","Dağ Bisikletine Binen Kadın: Orta Koyu Cilt Tonu"
"U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F","🚵🏿‍♀️","Woman Mountain Biking: Dark Skin Tone","Dağ Bisikletine Binen Kadın: Koyu Cilt Tonu"
"U+1F938 U+1F3FB","🤸🏻","Person Cartwheeling: Light Skin Tone","takla atan kişi: açık cilt tonu"
"U+1F938 U+1F3FC","🤸🏼","Person Cartwheeling: Medium-Light Skin Tone","Perende Giden Kişi: Orta Açık Cilt Tonu"
"U+1F938 U+1F3FD","🤸🏽","Person Cartwheeling: Medium Skin Tone","Perende Giden Kişi: Orta Cilt Tonu"
"U+1F938 U+1F3FE","🤸🏾","Person Cartwheeling: Medium-Dark Skin Tone","Perende Giden Kişi: Orta Koyu Cilt Tonu"
"U+1F938 U+1F3FF","🤸🏿","Person Cartwheeling: Dark Skin Tone","Takla atan kişi: Koyu Cilt Tonu"
"U+1F938 U+1F3FB U+200D U+2642 U+FE0F","🤸🏻‍♂️","Man Cartwheeling: Light Skin Tone","takla atan adam: açık cilt tonu"
"U+1F938 U+1F3FC U+200D U+2642 U+FE0F","🤸🏼‍♂️","Man Cartwheeling: Medium-Light Skin Tone","takla atan adam: Orta Açık Cilt Tonu"
"U+1F938 U+1F3FD U+200D U+2642 U+FE0F","🤸🏽‍♂️","Man Cartwheeling: Medium Skin Tone","Takla atan adam: Orta Cilt Tonu"
"U+1F938 U+1F3FE U+200D U+2642 U+FE0F","🤸🏾‍♂️","Man Cartwheeling: Medium-Dark Skin Tone","Takla atan adam: Orta Koyu Cilt Tonu"
"U+1F938 U+1F3FF U+200D U+2642 U+FE0F","🤸🏿‍♂️","Man Cartwheeling: Dark Skin Tone","Takla atan adam: Koyu Cilt Tonu"
"U+1F938 U+1F3FB U+200D U+2640 U+FE0F","🤸🏻‍♀️","Woman Cartwheeling: Light Skin Tone","takla atan kadın: açık cilt tonu"
"U+1F938 U+1F3FC U+200D U+2640 U+FE0F","🤸🏼‍♀️","Woman Cartwheeling: Medium-Light Skin Tone","Perende Giden Kadın: Orta Açık Cilt Tonu"
"U+1F938 U+1F3FD U+200D U+2640 U+FE0F","🤸🏽‍♀️","Woman Cartwheeling: Medium Skin Tone","Perende Giden Kadın: Orta Cilt Tonu"
"U+1F938 U+1F3FE U+200D U+2640 U+FE0F","🤸🏾‍♀️","Woman Cartwheeling: Medium-Dark Skin Tone","Perende Giden Kadın: Orta Koyu Cilt Tonu"
"U+1F938 U+1F3FF U+200D U+2640 U+FE0F","🤸🏿‍♀️","Woman Cartwheeling: Dark Skin Tone","takla atan kadın: koyu cilt tonu"
"U+1F93D U+1F3FB","🤽🏻","Person Playing Water Polo: Light Skin Tone","Su Topu Oynayan Kişi: Açık Cilt Tonu"
"U+1F93D U+1F3FC","🤽🏼","Person Playing Water Polo: Medium-Light Skin Tone","Su Topu Oynayan Kişi: Orta Açık Cilt Tonu"
"U+1F93D U+1F3FD","🤽🏽","Person Playing Water Polo: Medium Skin Tone","Su Topu Oynayan Kişi: Orta Cilt Tonu"
"U+1F93D U+1F3FE","🤽🏾","Person Playing Water Polo: Medium-Dark Skin Tone","Su Topu Oynayan Kişi: Orta Koyu Cilt Tonu"
"U+1F93D U+1F3FF","🤽🏿","Person Playing Water Polo: Dark Skin Tone","Su Topu Oynayan Kişi: Koyu Cilt Tonu"
"U+1F93D U+1F3FB U+200D U+2642 U+FE0F","🤽🏻‍♂️","Man Playing Water Polo: Light Skin Tone","Su Topu Oynayan Adam: Açık Cilt Tonu"
"U+1F93D U+1F3FC U+200D U+2642 U+FE0F","🤽🏼‍♂️","Man Playing Water Polo: Medium-Light Skin Tone","Su Topu Oynayan Adam: Orta Açık Cilt Tonu"
"U+1F93D U+1F3FD U+200D U+2642 U+FE0F","🤽🏽‍♂️","Man Playing Water Polo: Medium Skin Tone","Su Topu Oynayan Adam: Orta Cilt Tonu"
"U+1F93D U+1F3FE U+200D U+2642 U+FE0F","🤽🏾‍♂️","Man Playing Water Polo: Medium-Dark Skin Tone","Su Topu Oynayan Adam: Orta Koyu Cilt Tonu"
"U+1F93D U+1F3FF U+200D U+2642 U+FE0F","🤽🏿‍♂️","Man Playing Water Polo: Dark Skin Tone","Su Topu Oynayan Adam: Koyu Cilt Tonu"
"U+1F93D U+1F3FB U+200D U+2640 U+FE0F","🤽🏻‍♀️","Woman Playing Water Polo: Light Skin Tone","Su Topu Oynayan Kadın: Açık Cilt Tonu"
"U+1F93D U+1F3FC U+200D U+2640 U+FE0F","🤽🏼‍♀️","Woman Playing Water Polo: Medium-Light Skin Tone","Su Topu Oynayan Kadın: Orta Açık Cilt Tonu"
"U+1F93D U+1F3FD U+200D U+2640 U+FE0F","🤽🏽‍♀️","Woman Playing Water Polo: Medium Skin Tone","Su Topu Oynayan Kadın: Orta Cilt Tonu"
"U+1F93D U+1F3FE U+200D U+2640 U+FE0F","🤽🏾‍♀️","Woman Playing Water Polo: Medium-Dark Skin Tone","Su Topu Oynayan Kadın: Orta Koyu Cilt Tonu"
"U+1F93D U+1F3FF U+200D U+2640 U+FE0F","🤽🏿‍♀️","Woman Playing Water Polo: Dark Skin Tone","Su Topu Oynayan Kadın: Koyu Cilt Tonu"
"U+1F93E U+1F3FB","🤾🏻","Person Playing Handball: Light Skin Tone","Hentbol Oynayan Kişi: Açık Cilt Tonu"
"U+1F93E U+1F3FC","🤾🏼","Person Playing Handball: Medium-Light Skin Tone","Hentbol Oynayan Kişi: Orta Açık Cilt Tonu"
"U+1F93E U+1F3FD","🤾🏽","Person Playing Handball: Medium Skin Tone","Hentbol Oynayan Kişi: Orta Cilt Tonu"
"U+1F93E U+1F3FE","🤾🏾","Person Playing Handball: Medium-Dark Skin Tone","Hentbol Oynayan Kişi: Orta Koyu Cilt Tonu"
"U+1F93E U+1F3FF","🤾🏿","Person Playing Handball: Dark Skin Tone","Hentbol Oynayan Kişi: Koyu Cilt Tonu"
"U+1F93E U+1F3FB U+200D U+2642 U+FE0F","🤾🏻‍♂️","Man Playing Handball: Light Skin Tone","Hentbol Oynayan Adam: Açık Cilt Tonu"
"U+1F93E U+1F3FC U+200D U+2642 U+FE0F","🤾🏼‍♂️","Man Playing Handball: Medium-Light Skin Tone","Hentbol Oynayan Adam: Orta Açık Cilt Tonu"
"U+1F93E U+1F3FD U+200D U+2642 U+FE0F","🤾🏽‍♂️","Man Playing Handball: Medium Skin Tone","Hentbol Oynayan Adam: Orta Cilt Tonu"
"U+1F93E U+1F3FE U+200D U+2642 U+FE0F","🤾🏾‍♂️","Man Playing Handball: Medium-Dark Skin Tone","Hentbol Oynayan Adam: Orta Koyu Cilt Tonu"
"U+1F93E U+1F3FF U+200D U+2642 U+FE0F","🤾🏿‍♂️","Man Playing Handball: Dark Skin Tone","Hentbol Oynayan Adam: Koyu Cilt Tonu"
"U+1F93E U+1F3FB U+200D U+2640 U+FE0F","🤾🏻‍♀️","Woman Playing Handball: Light Skin Tone","Hentbol Oynayan Kadın: Açık Cilt Tonu"
"U+1F93E U+1F3FC U+200D U+2640 U+FE0F","🤾🏼‍♀️","Woman Playing Handball: Medium-Light Skin Tone","Hentbol Oynayan Kadın: Orta Açık Cilt Tonu"
"U+1F93E U+1F3FD U+200D U+2640 U+FE0F","🤾🏽‍♀️","Woman Playing Handball: Medium Skin Tone","Hentbol Oynayan Kadın: Orta Cilt Tonu"
"U+1F93E U+1F3FE U+200D U+2640 U+FE0F","🤾🏾‍♀️","Woman Playing Handball: Medium-Dark Skin Tone","Hentbol Oynayan Kadın: Orta Koyu Cilt Tonu"
"U+1F93E U+1F3FF U+200D U+2640 U+FE0F","🤾🏿‍♀️","Woman Playing Handball: Dark Skin Tone","Hentbol Oynayan Kadın: Koyu Cilt Tonu"
"U+1F939 U+1F3FB","🤹🏻","Person Juggling: Light Skin Tone","Hokkabazlık Yapan Kişi: Açık Cilt Tonu"
"U+1F939 U+1F3FC","🤹🏼","Person Juggling: Medium-Light Skin Tone","Hokkabazlık Yapan Kişi: Orta Açık Cilt Tonu"
"U+1F939 U+1F3FD","🤹🏽","Person Juggling: Medium Skin Tone","Hokkabazlık Yapan Kişi: Orta Cilt Tonu"
"U+1F939 U+1F3FE","🤹🏾","Person Juggling: Medium-Dark Skin Tone","Hokkabazlık Yapan Kişi: Orta Koyu Cilt Tonu"
"U+1F939 U+1F3FF","🤹🏿","Person Juggling: Dark Skin Tone","Hokkabazlık Yapan Kişi: Koyu Cilt Tonu"
"U+1F939 U+1F3FB U+200D U+2642 U+FE0F","🤹🏻‍♂️","Man Juggling: Light Skin Tone","Hokkabazlık Yapan Adam: Açık Cilt Tonu"
"U+1F939 U+1F3FC U+200D U+2642 U+FE0F","🤹🏼‍♂️","Man Juggling: Medium-Light Skin Tone","Hokkabazlık Yapan Adam: Orta Açık Cilt Tonu"
"U+1F939 U+1F3FD U+200D U+2642 U+FE0F","🤹🏽‍♂️","Man Juggling: Medium Skin Tone","Hokkabazlık Yapan Adam: Orta Cilt Tonu"
"U+1F939 U+1F3FE U+200D U+2642 U+FE0F","🤹🏾‍♂️","Man Juggling: Medium-Dark Skin Tone","Hokkabazlık Yapan Adam: Orta Koyu Cilt Tonu"
"U+1F939 U+1F3FF U+200D U+2642 U+FE0F","🤹🏿‍♂️","Man Juggling: Dark Skin Tone","Hokkabazlık Yapan Adam: Koyu Cilt Tonu"
